pitch,twist_factor,chord_factor,CT,CP 
1.0,0.8,0.7,0.34165,0.29927
1.0,0.8,0.8,0.38861,0.33314
1.0,0.8,0.9,0.43448,0.36411
1.0,0.8,1.0,0.47848,0.3921
1.0,0.8,1.1,0.52096,0.41719
1.0,0.8,1.2,0.56172,0.43933
1.0,0.8,1.3,0.60057,0.45845
1.0,0.8,1.4,0.63784,0.47464
1.0,0.9,0.5,0.24591,0.22438
1.0,0.9,0.6,0.29369,0.2627
1.0,0.9,0.7,0.34058,0.29848
1.0,0.9,0.8,0.38642,0.3316
1.0,0.9,0.9,0.43084,0.36176
1.0,0.9,1.0,0.47356,0.38913
1.0,0.9,1.1,0.51468,0.41367
1.0,0.9,1.2,0.55396,0.43531
1.0,0.9,1.3,0.59153,0.45422
1.0,0.9,1.4,0.62768,0.4705
1.0,1.0,0.5,0.24511,0.22373
1.0,1.0,0.6,0.29206,0.26142
1.0,1.0,0.7,0.33797,0.29652
1.0,1.0,0.8,0.38265,0.3288
1.0,1.0,0.9,0.42561,0.3583
1.0,1.0,1.0,0.46696,0.38502
1.0,1.0,1.1,0.50664,0.40899
1.0,1.0,1.2,0.54472,0.43034
1.0,1.0,1.3,0.58153,0.44919
1.0,1.0,1.4,0.6162,0.46546
1.0,1.1,0.5,0.24316,0.22212
1.0,1.1,0.6,0.28909,0.25907
1.0,1.1,0.7,0.3338,0.29336
1.0,1.1,0.8,0.37718,0.3249
1.0,1.1,0.9,0.41876,0.35366
1.0,1.1,1.0,0.45878,0.37979
1.0,1.1,1.1,0.49733,0.4034
1.0,1.1,1.2,0.53458,0.42455
1.0,1.1,1.3,0.56982,0.44317
1.0,1.1,1.4,0.60342,0.4594
1.0,1.2,0.5,0.24003,0.21951
1.0,1.2,0.6,0.28488,0.25569
1.0,1.2,0.7,0.32838,0.28915
1.0,1.2,0.8,0.37026,0.31988
1.0,1.2,0.9,0.41062,0.34804
1.0,1.2,1.0,0.44953,0.37372
1.0,1.2,1.1,0.48696,0.39694
1.0,1.2,1.2,0.52276,0.41771
1.0,1.2,1.3,0.5568,0.43613
1.0,1.2,1.4,0.58937,0.45235
1.0,1.3,0.5,0.23589,0.21602
1.0,1.3,0.6,0.27948,0.25132
1.0,1.3,0.7,0.32172,0.28397
1.0,1.3,0.8,0.36236,0.31404
1.0,1.3,0.9,0.40154,0.34162
1.0,1.3,1.0,0.43914,0.36673
1.0,1.3,1.1,0.47532,0.38948
1.0,1.3,1.2,0.50975,0.4099
1.0,1.3,1.3,0.54287,0.42821
1.0,1.3,1.4,0.57439,0.44439
1.0,1.4,0.5,0.23087,0.21176
1.0,1.4,0.6,0.27322,0.24619
1.0,1.4,0.7,0.3142,0.27808
1.0,1.4,0.8,0.35354,0.30741
1.0,1.4,0.9,0.39133,0.33428
1.0,1.4,1.0,0.42778,0.35885
1.0,1.4,1.1,0.46255,0.38113
1.0,1.4,1.2,0.49607,0.40134
1.0,1.4,1.3,0.52785,0.41935
1.0,1.4,1.4,0.55718,0.43504
1.1,0.5,0.5,0.24118,0.2203
1.1,0.5,0.6,0.28978,0.25942
1.1,0.5,0.7,0.33848,0.29672
1.1,0.5,0.8,0.38695,0.33184
1.1,0.5,0.9,0.43497,0.36454
1.1,0.5,1.0,0.48268,0.39454
1.1,0.5,1.1,0.52949,0.42158
1.1,0.5,1.2,0.57491,0.44561
1.1,0.5,1.3,0.61837,0.46599
1.1,0.5,1.4,0.66025,0.48281
1.1,0.6,0.5,0.24266,0.22156
1.1,0.6,0.6,0.29166,0.26096
1.1,0.6,0.7,0.34042,0.29825
1.1,0.6,0.8,0.38857,0.33306
1.1,0.6,0.9,0.43652,0.3655
1.1,0.6,1.0,0.48362,0.39499
1.1,0.6,1.1,0.52926,0.42161
1.1,0.6,1.2,0.57309,0.44486
1.1,0.6,1.3,0.61584,0.46502
1.1,0.6,1.4,0.656,0.48152
1.1,0.7,0.5,0.24432,0.22298
1.1,0.7,0.6,0.29327,0.26229
1.1,0.7,0.7,0.3418,0.29934
1.1,0.7,0.8,0.3898,0.33391
1.1,0.7,0.9,0.43701,0.36585
1.1,0.7,1.0,0.48314,0.39479
1.1,0.7,1.1,0.52738,0.42065
1.1,0.7,1.2,0.56992,0.44335
1.1,0.7,1.3,0.61063,0.46288
1.1,0.7,1.4,0.64929,0.47917
1.1,0.8,0.5,0.24572,0.22418
1.1,0.8,0.6,0.29451,0.26329
1.1,0.8,0.7,0.34246,0.29983
1.1,0.8,0.8,0.38971,0.33387
1.1,0.8,0.9,0.43593,0.36501
1.1,0.8,1.0,0.48038,0.39321
1.1,0.8,1.1,0.5232,0.4184
1.1,0.8,1.2,0.56433,0.44063
1.1,0.8,1.3,0.60357,0.45979
1.1,0.8,1.4,0.64078,0.47595
1.1,0.9,0.5,0.24641,0.22477
1.1,0.9,0.6,0.29451,0.26331
1.1,0.9,0.7,0.34166,0.29926
1.1,0.9,0.8,0.38781,0.33254
1.1,0.9,0.9,0.43272,0.36295
1.1,0.9,1.0,0.47575,0.39043
1.1,0.9,1.1,0.51725,0.4151
1.1,0.9,1.2,0.55691,0.43682
1.1,0.9,1.3,0.59472,0.45571
1.1,0.9,1.4,0.63113,0.47194
1.1,1.0,0.5,0.2459,0.22436
1.1,1.0,0.6,0.2931,0.26222
1.1,1.0,0.7,0.33935,0.29753
1.1,1.0,0.8,0.38446,0.33004
1.1,1.0,0.9,0.42772,0.35967
1.1,1.0,1.0,0.46947,0.38655
1.1,1.0,1.1,0.50949,0.41062
1.1,1.0,1.2,0.54784,0.43199
1.1,1.0,1.3,0.58491,0.45083
1.1,1.0,1.4,0.61983,0.46705
1.1,1.1,0.5,0.24413,0.2229
1.1,1.1,0.6,0.29041,0.2601
1.1,1.1,0.7,0.33548,0.29459
1.1,1.1,0.8,0.37924,0.32634
1.1,1.1,0.9,0.42116,0.35526
1.1,1.1,1.0,0.46154,0.38151
1.1,1.1,1.1,0.50036,0.40517
1.1,1.1,1.2,0.53787,0.42635
1.1,1.1,1.3,0.5734,0.44498
1.1,1.1,1.4,0.6072,0.46117
1.1,1.2,0.5,0.24124,0.22049
1.1,1.2,0.6,0.28642,0.2569
1.1,1.2,0.7,0.33027,0.29059
1.1,1.2,0.8,0.37254,0.32149
1.1,1.2,0.9,0.4132,0.34977
1.1,1.2,1.0,0.45242,0.37556
1.1,1.2,1.1,0.49009,0.39884
1.1,1.2,1.2,0.52626,0.41968
1.1,1.2,1.3,0.56052,0.43809
1.1,1.2,1.4,0.59334,0.45428
1.1,1.3,0.5,0.23728,0.21717
1.1,1.3,0.6,0.28122,0.25269
1.1,1.3,0.7,0.32381,0.28554
1.1,1.3,0.8,0.36476,0.31576
1.1,1.3,0.9,0.40427,0.34349
1.1,1.3,1.0,0.44219,0.36871
1.1,1.3,1.1,0.47869,0.39154
1.1,1.3,1.2,0.51336,0.412
1.1,1.3,1.3,0.54674,0.43032
1.1,1.3,1.4,0.57854,0.44649
1.1,1.4,0.5,0.23238,0.21301
1.1,1.4,0.6,0.27506,0.24767
1.1,1.4,0.7,0.3164,0.27976
1.1,1.4,0.8,0.35608,0.30926
1.1,1.4,0.9,0.39422,0.33629
1.1,1.4,1.0,0.43096,0.36096
1.1,1.4,1.1,0.46601,0.38331
1.1,1.4,1.2,0.49979,0.40356
1.1,1.4,1.3,0.53187,0.42161
1.1,1.4,1.4,0.56154,0.43731
1.2,0.5,0.5,0.24084,0.21999
1.2,0.5,0.6,0.28949,0.25915
1.2,0.5,0.7,0.33829,0.29652
1.2,0.5,0.8,0.38696,0.33178
1.2,0.5,0.9,0.43508,0.36453
1.2,0.5,1.0,0.48327,0.39483
1.2,0.5,1.1,0.53048,0.42206
1.2,0.5,1.2,0.5763,0.44623
1.2,0.5,1.3,0.62021,0.46672
1.2,0.5,1.4,0.6625,0.48358
1.2,0.6,0.5,0.24234,0.22128
1.2,0.6,0.6,0.29144,0.26075
1.2,0.6,0.7,0.34027,0.29808
1.2,0.6,0.8,0.38886,0.33321
1.2,0.6,0.9,0.43713,0.36585
1.2,0.6,1.0,0.48461,0.39553
1.2,0.6,1.1,0.53065,0.42231
1.2,0.6,1.2,0.57492,0.4457
1.2,0.6,1.3,0.61773,0.46579
1.2,0.6,1.4,0.65857,0.48243
1.2,0.7,0.5,0.24408,0.22276
1.2,0.7,0.6,0.29326,0.26224
1.2,0.7,0.7,0.34211,0.29953
1.2,0.7,0.8,0.39047,0.33433
1.2,0.7,0.9,0.43778,0.36631
1.2,0.7,1.0,0.48431,0.39546
1.2,0.7,1.1,0.52918,0.42158
1.2,0.7,1.2,0.57212,0.44439
1.2,0.7,1.3,0.61317,0.46397
1.2,0.7,1.4,0.65223,0.48026
1.2,0.8,0.5,0.24569,0.22413
1.2,0.8,0.6,0.29488,0.26354
1.2,0.8,0.7,0.34316,0.30031
1.2,0.8,0.8,0.39074,0.33454
1.2,0.8,0.9,0.43729,0.36584
1.2,0.8,1.0,0.48219,0.39425
1.2,0.8,1.1,0.52538,0.41957
1.2,0.8,1.2,0.56684,0.44185
1.2,0.8,1.3,0.60649,0.46109
1.2,0.8,1.4,0.64399,0.47721
1.2,0.9,0.5,0.24684,0.2251
1.2,0.9,0.6,0.29518,0.26381
1.2,0.9,0.7,0.3427,0.29999
1.2,0.9,0.8,0.38913,0.33343
1.2,0.9,0.9,0.43453,0.3641
1.2,0.9,1.0,0.4779,0.3917
1.2,0.9,1.1,0.5197,0.41644
1.2,0.9,1.2,0.5598,0.43829
1.2,0.9,1.3,0.59789,0.45718
1.2,0.9,1.4,0.63446,0.47331
1.2,1.0,0.5,0.24661,0.22492
1.2,1.0,0.6,0.29411,0.26298
1.2,1.0,0.7,0.34063,0.29845
1.2,1.0,0.8,0.38618,0.33122
1.2,1.0,0.9,0.4298,0.36101
1.2,1.0,1.0,0.4719,0.38803
1.2,1.0,1.1,0.51232,0.41222
1.2,1.0,1.2,0.55095,0.43362
1.2,1.0,1.3,0.58828,0.45244
1.2,1.0,1.4,0.62343,0.46861
1.2,1.1,0.5,0.24506,0.22365
1.2,1.1,0.6,0.29168,0.26107
1.2,1.1,0.7,0.33709,0.29578
1.2,1.1,0.8,0.38123,0.32772
1.2,1.1,0.9,0.42353,0.35681
1.2,1.1,1.0,0.46422,0.38317
1.2,1.1,1.1,0.50336,0.40691
1.2,1.1,1.2,0.54113,0.42811
1.2,1.1,1.3,0.57692,0.44673
1.2,1.1,1.4,0.61095,0.4629
1.2,1.2,0.5,0.2424,0.22144
1.2,1.2,0.6,0.28789,0.25805
1.2,1.2,0.7,0.33211,0.29197
1.2,1.2,0.8,0.37477,0.32307
1.2,1.2,0.9,0.41575,0.35148
1.2,1.2,1.0,0.45529,0.37737
1.2,1.2,1.1,0.49323,0.40071
1.2,1.2,1.2,0.52972,0.4216
1.2,1.2,1.3,0.56422,0.44001
1.2,1.2,1.4,0.59729,0.45617
1.2,1.3,0.5,0.23863,0.21828
1.2,1.3,0.6,0.28291,0.25402
1.2,1.3,0.7,0.32588,0.28709
1.2,1.3,0.8,0.36713,0.31746
1.2,1.3,0.9,0.40695,0.34532
1.2,1.3,1.0,0.44522,0.37067
1.2,1.3,1.1,0.48204,0.39359
1.2,1.3,1.2,0.51696,0.41406
1.2,1.3,1.3,0.55058,0.43238
1.2,1.3,1.4,0.58266,0.44855
1.2,1.4,0.5,0.23386,0.21424
1.2,1.4,0.6,0.27688,0.24912
1.2,1.4,0.7,0.31857,0.28141
1.2,1.4,0.8,0.3586,0.31109
1.2,1.4,0.9,0.39708,0.33827
1.2,1.4,1.0,0.43413,0.36306
1.2,1.4,1.1,0.46945,0.38546
1.2,1.4,1.2,0.50349,0.40574
1.2,1.4,1.3,0.53587,0.42383
1.2,1.4,1.4,0.5659,0.43956
1.3,0.5,0.5,0.24038,0.21958
1.3,0.5,0.6,0.28913,0.25883
1.3,0.5,0.7,0.338,0.29626
1.3,0.5,0.8,0.38668,0.33151
1.3,0.5,0.9,0.43523,0.36456
1.3,0.5,1.0,0.48373,0.39504
1.3,0.5,1.1,0.53133,0.42245
1.3,0.5,1.2,0.57739,0.44668
1.3,0.5,1.3,0.62193,0.46739
1.3,0.5,1.4,0.66423,0.48419
1.3,0.6,0.5,0.24197,0.22094
1.3,0.6,0.6,0.29113,0.26047
1.3,0.6,0.7,0.34014,0.29793
1.3,0.6,0.8,0.389,0.33325
1.3,0.6,0.9,0.43761,0.3661
1.3,0.6,1.0,0.4855,0.39599
1.3,0.6,1.1,0.53192,0.42294
1.3,0.6,1.2,0.57662,0.44647
1.3,0.6,1.3,0.61986,0.46665
1.3,0.6,1.4,0.66108,0.4833
1.3,0.7,0.5,0.24365,0.22238
1.3,0.7,0.6,0.2931,0.26208
1.3,0.7,0.7,0.34227,0.2996
1.3,0.7,0.8,0.391,0.33464
1.3,0.7,0.9,0.4387,0.36685
1.3,0.7,1.0,0.48559,0.39617
1.3,0.7,1.1,0.53086,0.42245
1.3,0.7,1.2,0.57424,0.44539
1.3,0.7,1.3,0.61564,0.465
1.3,0.7,1.4,0.65513,0.48132
1.3,0.8,0.5,0.24551,0.22396
1.3,0.8,0.6,0.29497,0.26361
1.3,0.8,0.7,0.34374,0.30069
1.3,0.8,0.8,0.39168,0.33515
1.3,0.8,0.9,0.43857,0.36662
1.3,0.8,1.0,0.48385,0.3952
1.3,0.8,1.1,0.52749,0.42069
1.3,0.8,1.2,0.56929,0.44304
1.3,0.8,1.3,0.60937,0.46235
1.3,0.8,1.4,0.64715,0.47843
1.3,0.9,0.5,0.24705,0.22524
1.3,0.9,0.6,0.2958,0.26427
1.3,0.9,0.7,0.34367,0.30068
1.3,0.9,0.8,0.3904,0.33427
1.3,0.9,0.9,0.43614,0.36511
1.3,0.9,1.0,0.47999,0.39293
1.3,0.9,1.1,0.52211,0.41776
1.3,0.9,1.2,0.56263,0.43971
1.3,0.9,1.3,0.60103,0.4586
1.3,0.9,1.4,0.63792,0.4747
1.3,1.0,0.5,0.24714,0.22535
1.3,1.0,0.6,0.29507,0.26371
1.3,1.0,0.7,0.34185,0.29933
1.3,1.0,0.8,0.38762,0.33231
1.3,1.0,0.9,0.43184,0.36231
1.3,1.0,1.0,0.47425,0.38943
1.3,1.0,1.1,0.51506,0.41375
1.3,1.0,1.2,0.55402,0.43521
1.3,1.0,1.3,0.59161,0.45402
1.3,1.0,1.4,0.62701,0.47014
1.3,1.1,0.5,0.24594,0.22436
1.3,1.1,0.6,0.29285,0.26197
1.3,1.1,0.7,0.33863,0.29691
1.3,1.1,0.8,0.38315,0.32904
1.3,1.1,0.9,0.42584,0.35832
1.3,1.1,1.0,0.46687,0.3848
1.3,1.1,1.1,0.50632,0.40862
1.3,1.1,1.2,0.54431,0.42985
1.3,1.1,1.3,0.58043,0.44846
1.3,1.1,1.4,0.61471,0.46459
1.3,1.2,0.5,0.24353,0.22236
1.3,1.2,0.6,0.28934,0.25917
1.3,1.2,0.7,0.3339,0.2933
1.3,1.2,0.8,0.37698,0.32462
1.3,1.2,0.9,0.41828,0.35317
1.3,1.2,1.0,0.45811,0.37915
1.3,1.2,1.1,0.49636,0.40257
1.3,1.2,1.2,0.53314,0.42349
1.3,1.2,1.3,0.56792,0.44191
1.3,1.2,1.4,0.60124,0.45803
1.3,1.3,0.5,0.23994,0.21936
1.3,1.3,0.6,0.28456,0.25533
1.3,1.3,0.7,0.32789,0.28861
1.3,1.3,0.8,0.36948,0.31914
1.3,1.3,0.9,0.40962,0.34713
1.3,1.3,1.0,0.44821,0.37259
1.3,1.3,1.1,0.48535,0.39559
1.3,1.3,1.2,0.52055,0.41611
1.3,1.3,1.3,0.55441,0.43442
1.3,1.3,1.4,0.58675,0.45058
1.3,1.4,0.5,0.23533,0.21546
1.3,1.4,0.6,0.27868,0.25054
1.3,1.4,0.7,0.32071,0.28304
1.3,1.4,0.8,0.36109,0.31289
1.3,1.4,0.9,0.39989,0.34021
1.3,1.4,1.0,0.43729,0.36513
1.3,1.4,1.1,0.47289,0.38759
1.3,1.4,1.2,0.50717,0.40791
1.3,1.4,1.3,0.53985,0.42603
1.3,1.4,1.4,0.57023,0.44177
1.4,0.5,0.5,0.23996,0.21921
1.4,0.5,0.6,0.28871,0.25847
1.4,0.5,0.7,0.33763,0.29593
1.4,0.5,0.8,0.38645,0.33129
1.4,0.5,0.9,0.43523,0.36448
1.4,0.5,1.0,0.48404,0.39516
1.4,0.5,1.1,0.53205,0.42277
1.4,0.5,1.2,0.57857,0.44718
1.4,0.5,1.3,0.62354,0.46801
1.4,0.5,1.4,0.66633,0.48487
1.4,0.6,0.5,0.24156,0.22059
1.4,0.6,0.6,0.29061,0.26002
1.4,0.6,0.7,0.33988,0.29768
1.4,0.6,0.8,0.38899,0.33318
1.4,0.6,0.9,0.43794,0.36625
1.4,0.6,1.0,0.48624,0.39636
1.4,0.6,1.1,0.53307,0.42349
1.4,0.6,1.2,0.57821,0.44718
1.4,0.6,1.3,0.62192,0.46747
1.4,0.6,1.4,0.66351,0.48412
1.4,0.7,0.5,0.24327,0.22203
1.4,0.7,0.6,0.2928,0.26181
1.4,0.7,0.7,0.34225,0.29953
1.4,0.7,0.8,0.39138,0.33485
1.4,0.7,0.9,0.43948,0.3673
1.4,0.7,1.0,0.48678,0.39681
1.4,0.7,1.1,0.53242,0.42324
1.4,0.7,1.2,0.57627,0.44633
1.4,0.7,1.3,0.61808,0.466
1.4,0.7,1.4,0.65788,0.4823
1.4,0.8,0.5,0.24519,0.22367
1.4,0.8,0.6,0.29494,0.26354
1.4,0.8,0.7,0.3442,0.30099
1.4,0.8,0.8,0.39251,0.33568
1.4,0.8,0.9,0.43978,0.36735
1.4,0.8,1.0,0.48539,0.39607
1.4,0.8,1.1,0.52953,0.42176
1.4,0.8,1.2,0.57169,0.44419
1.4,0.8,1.3,0.61209,0.46352
1.4,0.8,1.4,0.65029,0.47962
1.4,0.9,0.5,0.24698,0.22516
1.4,0.9,0.6,0.29626,0.26459
1.4,0.9,0.7,0.34455,0.30129
1.4,0.9,0.8,0.39161,0.33507
1.4,0.9,0.9,0.43766,0.36605
1.4,0.9,1.0,0.48202,0.39411
1.4,0.9,1.1,0.52447,0.41903
1.4,0.9,1.2,0.56533,0.44105
1.4,0.9,1.3,0.60415,0.46001
1.4,0.9,1.4,0.64103,0.47595
1.4,1.0,0.5,0.24771,0.22579
1.4,1.0,0.6,0.29595,0.26437
1.4,1.0,0.7,0.34303,0.30018
1.4,1.0,0.8,0.38911,0.33332
1.4,1.0,0.9,0.4338,0.36356
1.4,1.0,1.0,0.47655,0.39081
1.4,1.0,1.1,0.51774,0.41524
1.4,1.0,1.2,0.55706,0.43677
1.4,1.0,1.3,0.59491,0.45556
1.4,1.0,1.4,0.63056,0.47163
1.4,1.1,0.5,0.24678,0.22503
1.4,1.1,0.6,0.29398,0.26283
1.4,1.1,0.7,0.34012,0.29799
1.4,1.1,0.8,0.38499,0.33032
1.4,1.1,0.9,0.42807,0.35977
1.4,1.1,1.0,0.46948,0.3864
1.4,1.1,1.1,0.50923,0.41028
1.4,1.1,1.2,0.54742,0.43154
1.4,1.1,1.3,0.58393,0.45016
1.4,1.1,1.4,0.61844,0.46625
1.4,1.2,0.5,0.24458,0.22321
1.4,1.2,0.6,0.29074,0.26026
1.4,1.2,0.7,0.33561,0.29456
1.4,1.2,0.8,0.37911,0.32611
1.4,1.2,0.9,0.42075,0.35481
1.4,1.2,1.0,0.4609,0.38089
1.4,1.2,1.1,0.49947,0.40439
1.4,1.2,1.2,0.53654,0.42535
1.4,1.2,1.3,0.5716,0.44378
1.4,1.2,1.4,0.60516,0.45986
1.4,1.3,0.5,0.24118,0.22038
1.4,1.3,0.6,0.28617,0.25659
1.4,1.3,0.7,0.32985,0.29007
1.4,1.3,0.8,0.37181,0.3208
1.4,1.3,0.9,0.41226,0.34891
1.4,1.3,1.0,0.45115,0.37447
1.4,1.3,1.1,0.48864,0.39757
1.4,1.3,1.2,0.52413,0.41813
1.4,1.3,1.3,0.55824,0.43644
1.4,1.3,1.4,0.59079,0.45256
1.4,1.4,0.5,0.23676,0.21664
1.4,1.4,0.6,0.28044,0.25195
1.4,1.4,0.7,0.32282,0.28463
1.4,1.4,0.8,0.36354,0.31466
1.4,1.4,0.9,0.40269,0.34213
1.4,1.4,1.0,0.44039,0.36716
1.4,1.4,1.1,0.47631,0.38971
1.4,1.4,1.2,0.51084,0.41005
1.4,1.4,1.3,0.54381,0.42819
1.4,1.4,1.4,0.57455,0.44396
1.5,0.5,0.5,0.23953,0.21884
1.5,0.5,0.6,0.28826,0.25808
1.5,0.5,0.7,0.33704,0.29544
1.5,0.5,0.8,0.38612,0.331
1.5,0.5,0.9,0.4351,0.36433
1.5,0.5,1.0,0.48376,0.39513
1.5,0.5,1.1,0.53264,0.42301
1.5,0.5,1.2,0.57959,0.4476
1.5,0.5,1.3,0.62505,0.46857
1.5,0.5,1.4,0.6683,0.4855
1.5,0.6,0.5,0.24112,0.2202
1.5,0.6,0.6,0.29016,0.25964
1.5,0.6,0.7,0.33951,0.29736
1.5,0.6,0.8,0.38882,0.33299
1.5,0.6,0.9,0.43811,0.36629
1.5,0.6,1.0,0.48685,0.39665
1.5,0.6,1.1,0.53398,0.42391
1.5,0.6,1.2,0.5797,0.44783
1.5,0.6,1.3,0.62386,0.46823
1.5,0.6,1.4,0.66588,0.4849
1.5,0.7,0.5,0.24284,0.22166
1.5,0.7,0.6,0.29241,0.26146
1.5,0.7,0.7,0.34205,0.29933
1.5,0.7,0.8,0.39146,0.33484
1.5,0.7,0.9,0.44013,0.36765
1.5,0.7,1.0,0.48785,0.39739
1.5,0.7,1.1,0.5339,0.42397
1.5,0.7,1.2,0.57819,0.44721
1.5,0.7,1.3,0.62044,0.46696
1.5,0.7,1.4,0.66058,0.48324
1.5,0.8,0.5,0.24479,0.22332
1.5,0.8,0.6,0.29464,0.26327
1.5,0.8,0.7,0.34438,0.30107
1.5,0.8,0.8,0.39311,0.33605
1.5,0.8,0.9,0.44069,0.36803
1.5,0.8,1.0,0.48686,0.39689
1.5,0.8,1.1,0.53142,0.42274
1.5,0.8,1.2,0.57403,0.4453
1.5,0.8,1.3,0.61475,0.46464
1.5,0.8,1.4,0.65338,0.48076
1.5,0.9,0.5,0.24683,0.22502
1.5,0.9,0.6,0.29664,0.26486
1.5,0.9,0.7,0.3453,0.3018
1.5,0.9,0.8,0.39275,0.33583
1.5,0.9,0.9,0.43911,0.36694
1.5,0.9,1.0,0.48391,0.3952
1.5,0.9,1.1,0.52679,0.42027
1.5,0.9,1.2,0.56795,0.44233
1.5,0.9,1.3,0.60718,0.46135
1.5,0.9,1.4,0.64458,0.47733
1.5,1.0,0.5,0.24807,0.22607
1.5,1.0,0.6,0.29674,0.26496
1.5,1.0,0.7,0.34417,0.30099
1.5,1.0,0.8,0.39051,0.33427
1.5,1.0,0.9,0.43565,0.36473
1.5,1.0,1.0,0.47882,0.39215
1.5,1.0,1.1,0.52033,0.41667
1.5,1.0,1.2,0.56003,0.43828
1.5,1.0,1.3,0.59819,0.45707
1.5,1.0,1.4,0.63408,0.47309
1.5,1.1,0.5,0.24755,0.22565
1.5,1.1,0.6,0.29504,0.26364
1.5,1.1,0.7,0.34152,0.29901
1.5,1.1,0.8,0.38678,0.33154
1.5,1.1,0.9,0.43023,0.36117
1.5,1.1,1.0,0.47203,0.38795
1.5,1.1,1.1,0.5121,0.41191
1.5,1.1,1.2,0.55058,0.43321
1.5,1.1,1.3,0.58739,0.45183
1.5,1.1,1.4,0.62213,0.46786
1.5,1.2,0.5,0.24556,0.224
1.5,1.2,0.6,0.29208,0.26129
1.5,1.2,0.7,0.33728,0.2958
1.5,1.2,0.8,0.38117,0.32755
1.5,1.2,0.9,0.42322,0.35643
1.5,1.2,1.0,0.46365,0.3826
1.5,1.2,1.1,0.50253,0.40617
1.5,1.2,1.2,0.53991,0.42717
1.5,1.2,1.3,0.57524,0.44561
1.5,1.2,1.4,0.60905,0.46165
1.5,1.3,0.5,0.24239,0.22136
1.5,1.3,0.6,0.28774,0.25782
1.5,1.3,0.7,0.33178,0.29151
1.5,1.3,0.8,0.37408,0.3224
1.5,1.3,0.9,0.41486,0.35066
1.5,1.3,1.0,0.45406,0.37632
1.5,1.3,1.1,0.4919,0.39952
1.5,1.3,1.2,0.52767,0.42011
1.5,1.3,1.3,0.56203,0.43842
1.5,1.3,1.4,0.59479,0.4545
1.5,1.4,0.5,0.23815,0.2178
1.5,1.4,0.6,0.28218,0.25332
1.5,1.4,0.7,0.32488,0.28619
1.5,1.4,0.8,0.36597,0.31641
1.5,1.4,0.9,0.40545,0.34402
1.5,1.4,1.0,0.44345,0.36915
1.5,1.4,1.1,0.47972,0.3918
1.5,1.4,1.2,0.51449,0.41216
1.5,1.4,1.3,0.54775,0.43033
1.5,1.4,1.4,0.57884,0.44611
1.6,0.5,0.5,0.23909,0.21846
1.6,0.5,0.6,0.28777,0.25766
1.6,0.5,0.7,0.33655,0.29503
1.6,0.5,0.8,0.3857,0.33064
1.6,0.5,0.9,0.43485,0.36408
1.6,0.5,1.0,0.48361,0.39494
1.6,0.5,1.1,0.53288,0.42304
1.6,0.5,1.2,0.5803,0.44785
1.6,0.5,1.3,0.62642,0.46908
1.6,0.5,1.4,0.67016,0.48607
1.6,0.6,0.5,0.24065,0.21979
1.6,0.6,0.6,0.28967,0.25921
1.6,0.6,0.7,0.33905,0.29697
1.6,0.6,0.8,0.38852,0.33272
1.6,0.6,0.9,0.43796,0.36611
1.6,0.6,1.0,0.48714,0.39674
1.6,0.6,1.1,0.53489,0.42432
1.6,0.6,1.2,0.58106,0.44841
1.6,0.6,1.3,0.62568,0.46892
1.6,0.6,1.4,0.66818,0.48564
1.6,0.7,0.5,0.24236,0.22125
1.6,0.7,0.6,0.29194,0.26106
1.6,0.7,0.7,0.34158,0.29893
1.6,0.7,0.8,0.39146,0.33478
1.6,0.7,0.9,0.44049,0.36782
1.6,0.7,1.0,0.4888,0.39789
1.6,0.7,1.1,0.535,0.42454
1.6,0.7,1.2,0.57996,0.448
1.6,0.7,1.3,0.62272,0.46787
1.6,0.7,1.4,0.66314,0.48411
1.6,0.8,0.5,0.24434,0.22292
1.6,0.8,0.6,0.29426,0.26294
1.6,0.8,0.7,0.34436,0.30101
1.6,0.8,0.8,0.39356,0.33632
1.6,0.8,0.9,0.44169,0.36862
1.6,0.8,1.0,0.48826,0.39766
1.6,0.8,1.1,0.53317,0.42364
1.6,0.8,1.2,0.57632,0.44637
1.6,0.8,1.3,0.61736,0.46573
1.6,0.8,1.4,0.6564,0.48186
1.6,0.9,0.5,0.24642,0.22466
1.6,0.9,0.6,0.29659,0.26478
1.6,0.9,0.7,0.34596,0.30225
1.6,0.9,0.8,0.3938,0.33651
1.6,0.9,0.9,0.44052,0.3678
1.6,0.9,1.0,0.48562,0.39618
1.6,0.9,1.1,0.52906,0.42147
1.6,0.9,1.2,0.57052,0.44357
1.6,0.9,1.3,0.61016,0.46265
1.6,0.9,1.4,0.64787,0.47859
1.6,1.0,0.5,0.24816,0.22612
1.6,1.0,0.6,0.29744,0.26548
1.6,1.0,0.7,0.34522,0.30173
1.6,1.0,0.8,0.39188,0.33519
1.6,1.0,0.9,0.43739,0.36583
1.6,1.0,1.0,0.48102,0.39344
1.6,1.0,1.1,0.52286,0.41805
1.6,1.0,1.2,0.56292,0.43973
1.6,1.0,1.3,0.60143,0.45855
1.6,1.0,1.4,0.63758,0.47451
1.6,1.1,0.5,0.24816,0.22613
1.6,1.1,0.6,0.29606,0.26442
1.6,1.1,0.7,0.34283,0.29996
1.6,1.1,0.8,0.3885,0.33271
1.6,1.1,0.9,0.43232,0.36251
1.6,1.1,1.0,0.47452,0.38945
1.6,1.1,1.1,0.51493,0.4135
