pitch,twist_factor,chord_factor,CT,CP
-0.7,0.7,0.8,0.36459,0.31651
-0.7,0.7,0.9,0.40584,0.34538
-0.7,0.7,1.0,0.44546,0.37178
-0.7,0.7,1.1,0.48363,0.39572
-0.7,0.7,1.2,0.52037,0.41722
-0.7,0.7,1.3,0.55554,0.4363
-0.7,0.7,1.4,0.58951,0.45303
-0.7,0.8,0.5,0.23196,0.2131
-0.7,0.8,0.6,0.27559,0.24871
-0.7,0.8,0.7,0.318,0.28184
-0.7,0.8,0.8,0.35929,0.31258
-0.7,0.8,0.9,0.39935,0.34089
-0.7,0.8,1.0,0.43778,0.36675
-0.7,0.8,1.1,0.4748,0.39026
-0.7,0.8,1.2,0.51035,0.41143
-0.7,0.8,1.3,0.54485,0.4304
-0.7,0.8,1.4,0.57742,0.44711
-0.7,0.9,0.5,0.22876,0.2104
-0.7,0.9,0.6,0.27131,0.24524
-0.7,0.9,0.7,0.31274,0.27773
-0.7,0.9,0.8,0.35305,0.30784
-0.7,0.9,0.9,0.39169,0.3355
-0.7,0.9,1.0,0.42893,0.36083
-0.7,0.9,1.1,0.46479,0.38391
-0.7,0.9,1.2,0.49937,0.40485
-0.7,0.9,1.3,0.53262,0.42361
-0.7,0.9,1.4,0.5641,0.44024
-0.7,1.0,0.5,0.22471,0.20696
-0.7,1.0,0.6,0.26623,0.24109
-0.7,1.0,0.7,0.30653,0.27285
-0.7,1.0,0.8,0.34553,0.30222
-0.7,1.0,0.9,0.38294,0.32924
-0.7,1.0,1.0,0.41907,0.3541
-0.7,1.0,1.1,0.45385,0.3768
-0.7,1.0,1.2,0.48743,0.39741
-0.7,1.0,1.3,0.51926,0.41591
-0.7,1.0,1.4,0.54996,0.43251
-0.7,1.1,0.5,0.21996,0.20292
-0.7,1.1,0.6,0.26032,0.23622
-0.7,1.1,0.7,0.29949,0.26719
-0.7,1.1,0.8,0.33707,0.2958
-0.7,1.1,0.9,0.37336,0.32226
-0.7,1.1,1.0,0.4083,0.34658
-0.7,1.1,1.1,0.44209,0.36887
-0.7,1.1,1.2,0.47423,0.38909
-0.7,1.1,1.3,0.5053,0.40748
-0.7,1.1,1.4,0.5351,0.42407
-0.7,1.2,0.5,0.21453,0.19825
-0.7,1.2,0.6,0.25363,0.23066
-0.7,1.2,0.7,0.2915,0.26082
-0.7,1.2,0.8,0.3279,0.28875
-0.7,1.2,0.9,0.36294,0.31455
-0.7,1.2,1.0,0.3968,0.33836
-0.7,1.2,1.1,0.42926,0.36017
-0.7,1.2,1.2,0.46054,0.38015
-0.7,1.2,1.3,0.49055,0.39832
-0.7,1.2,1.4,0.5186,0.41447
-0.7,1.3,0.5,0.2085,0.19303
-0.7,1.3,0.6,0.24644,0.22459
-0.7,1.3,0.7,0.28292,0.25388
-0.7,1.3,0.8,0.31804,0.28106
-0.7,1.3,0.9,0.35193,0.30624
-0.7,1.3,1.0,0.38459,0.32949
-0.7,1.3,1.1,0.416,0.3509
-0.7,1.3,1.2,0.44607,0.37046
-0.7,1.3,1.3,0.47417,0.388
-0.7,1.3,1.4,0.50042,0.40374
-0.7,1.4,0.5,0.20205,0.18741
-0.7,1.4,0.6,0.23867,0.21803
-0.7,1.4,0.7,0.27382,0.24646
-0.7,1.4,0.8,0.30769,0.27287
-0.7,1.4,0.9,0.34044,0.29742
-0.7,1.4,1.0,0.37188,0.32009
-0.7,1.4,1.1,0.40193,0.34089
-0.7,1.4,1.2,0.43003,0.35965
-0.7,1.4,1.3,0.45656,0.37671
-0.7,1.4,1.4,0.48185,0.39233
-0.6,0.5,0.5,0.23781,0.21795
-0.6,0.5,0.6,0.28365,0.25516
-0.6,0.5,0.7,0.32867,0.29006
-0.6,0.5,0.8,0.37295,0.3226
-0.6,0.5,0.9,0.41638,0.35279
-0.6,0.5,1.0,0.45891,0.38038
-0.6,0.5,1.1,0.49958,0.40527
-0.6,0.5,1.2,0.53918,0.42762
-0.6,0.5,1.3,0.57695,0.44717
-0.6,0.5,1.4,0.61312,0.464
-0.6,0.6,0.5,0.23693,0.21725
-0.6,0.6,0.6,0.28215,0.254
-0.6,0.6,0.7,0.32672,0.28854
-0.6,0.6,0.8,0.37038,0.32073
-0.6,0.6,0.9,0.41294,0.35038
-0.6,0.6,1.0,0.45418,0.37737
-0.6,0.6,1.1,0.49383,0.40184
-0.6,0.6,1.2,0.53199,0.42373
-0.6,0.6,1.3,0.56865,0.44306
-0.6,0.6,1.4,0.60363,0.45981
-0.6,0.7,0.5,0.23542,0.21599
-0.6,0.7,0.6,0.2801,0.25233
-0.6,0.7,0.7,0.32392,0.28638
-0.6,0.7,0.8,0.3665,0.31788
-0.6,0.7,0.9,0.40805,0.34688
-0.6,0.7,1.0,0.44798,0.3734
-0.6,0.7,1.1,0.48647,0.39743
-0.6,0.7,1.2,0.52349,0.41899
-0.6,0.7,1.3,0.55895,0.43809
-0.6,0.7,1.4,0.59315,0.4548
-0.6,0.8,0.5,0.23316,0.2141
-0.6,0.8,0.6,0.27709,0.2499
-0.6,0.8,0.7,0.31979,0.2832
-0.6,0.8,0.8,0.36137,0.31409
-0.6,0.8,0.9,0.40174,0.34253
-0.6,0.8,1.0,0.4405,0.36853
-0.6,0.8,1.1,0.47782,0.39212
-0.6,0.8,1.2,0.51366,0.41334
-0.6,0.8,1.3,0.54841,0.43233
-0.6,0.8,1.4,0.58124,0.44903
-0.6,0.9,0.5,0.23011,0.21151
-0.6,0.9,0.6,0.27295,0.24656
-0.6,0.9,0.7,0.31467,0.27921
